date,open,high,low,close,volume
2017-01-03,2.5679340088401847,2.616390360672771,2.444456752900813,2.5091471672058105,1501996000
2017-01-04,2.5433361878543757,2.594990026209138,2.4973396154502754,2.5676872730255127,1199220000
2017-01-05,2.5711314271248455,2.6028615722033566,2.485533504587961,2.5025055408477783,984296000
2017-01-06,2.529808405519207,2.5642443851563477,2.4892232527142544,2.5359578132629395,822856000
2017-01-09,2.5457969228365154,2.656483694573767,2.5457969228365154,2.6387736797332764,916248000
2017-01-10,2.65180953895212,2.6857533732513637,2.5981878373808738,2.618849515914917,880920000
2017-01-11,2.607288923570556,2.6122082144773975,2.5617842511588704,2.586627244949341,525664000
2017-01-12,2.5637526229133467,2.5753132286273623,2.499554116101543,2.544320821762085,625616000
2017-01-13,2.548255611827115,2.5826915840619202,2.5349732223621153,2.544074296951294,457820000
2017-01-17,2.533498015063537,2.5384173066144453,2.4737271331629276,2.4870095252990723,580612000
2017-01-18,2.4656102509269693,2.5391554350821646,2.437815583452183,2.5322682857513428,654424000
2017-01-19,2.5352194703646225,2.618603456859412,2.5330057777277495,2.586627244949341,644872000
2017-01-20,2.6092566590430595,2.6269666700563827,2.536449461524009,2.5583407878875732,492024000
2017-01-23,2.553175716032891,2.604829568812421,2.5507159529062653,2.5849058628082275,369904000
2017-01-24,2.594990432202098,2.646152372988506,2.5802320898306745,2.640002965927124,428052000
2017-01-25,2.682310003147152,2.6884594104420483,2.6154061407251827,2.651317834854126,522760000
2017-01-26,2.654023069143716,2.7044470291633727,2.6245066219060544,2.697067975997925,458800000
2017-01-27,2.70395626909886,2.7521665570508524,2.6773914787883255,2.7492148876190186,471996000
2017-01-30,2.7283072461521995,2.7305209394848573,2.6542701471433348,2.706169843673706,496004000
2017-01-31,2.679851458899301,2.7069081572048876,2.6614034648160487,2.6855087280273438,362756000
2017-02-01,2.719943384550513,2.807017018212062,2.702233608258349,2.802835702896118,590004000
2017-02-02,2.786847626321938,2.846864575777649,2.756347363205696,2.8382554054260254,483240000
2017-02-03,2.839732097601044,2.8508007992209605,2.801606700119091,2.813413143157959,372744000
2017-02-06,2.804065232576084,2.885973501622842,2.804065232576084,2.885481595993042,506768000
2017-02-07,2.9196717061147854,2.974277222661696,2.899994072080427,2.930248498916626,746224000
2017-02-08,2.9122922199917998,2.9346754491484277,2.862606002035891,2.9174575805664062,449580000
2017-02-09,2.923606556364871,2.928526081101919,2.8434203205032986,2.8626058101654053,842568000
2017-02-10,2.9499266245706193,2.9688662859767034,2.7696301495311757,2.7947192192077637,1651092000
2017-02-13,2.7890615525981803,2.80357382685647,2.6614027531545723,2.665830373764038,1180724000
2017-02-14,2.6562376293592855,2.7093674394038962,2.6144225901354146,2.6756694316864014,850632000
2017-02-15,2.678621050995418,2.7007582173115274,2.6505803119220257,2.6810805797576904,373020000
2017-02-16,2.690673440564517,2.6919033221776854,2.598926336490382,2.638035774230957,647176000
2017-02-17,2.6245075924417116,2.641971537899558,2.577527188831099,2.6375439167022705,563740000
2017-02-21,2.662140530488657,2.735931777858841,2.661894460360288,2.7319962978363037,551952000
2017-02-22,2.7440637376528034,2.7534224446418536,2.708845396115706,2.727809190750122,433772000
2017-02-23,2.5982654717006426,2.620184426073657,2.4549299359358927,2.4748785495758057,1592888000
2017-02-24,2.390650653194142,2.512067246564421,2.3569101208376817,2.4987680912017822,1029904000
2017-02-27,2.5169930888980403,2.5864442626313653,2.501231065421149,2.5714211463928223,715400000
2017-02-28,2.5810251999474128,2.5908766670759134,2.4820203509994,2.4992599487304688,625360000
2017-03-01,2.5561509534160876,2.570435393398635,2.4901477182716323,2.5315229892730713,504804000
2017-03-02,2.5187169038556902,2.5327549662143096,2.435473817588905,2.438182830810547,754332000
2017-03-03,2.4275929036804826,2.43251840357658,2.369716694515599,2.424144983291626,864692000
2017-03-06,2.3879410007071664,2.4160171183303945,2.343856718744178,2.4054269790649414,883568000
2017-03-07,2.405426748900552,2.4512349862534384,2.39262012470539,2.4317786693573,603400000
2017-03-08,2.4800510476773274,2.4948280196774317,2.4251304577269446,2.42734694480896,638712000
2017-03-09,2.4113380171908942,2.4492651361591053,2.398777536213795,2.426853656768799,478060000
2017-03-10,2.453206224061338,2.4650275650400766,2.4229136120978807,2.44113826751709,499740000
2017-03-13,2.451481870043635,2.518224016996762,2.450742962953664,2.5083727836608887,774136000
2017-03-14,2.5211803246442033,2.53053880006545,2.4743867731778986,2.5066497325897217,522016000
2017-03-15,2.5182247012428296,2.536449358686594,2.4706922467381087,2.5256130695343018,615036000
2017-03-16,2.5362025850572696,2.5571364857613816,2.522164524367886,2.5566437244415283,523100000
2017-03-17,2.5741302288646555,2.6135354060505707,2.556644244610251,2.6123039722442627,1119688000
2017-03-20,2.629789292628745,2.6994868313417046,2.6137808920599173,2.6955461502075195,748568000
2017-03-21,2.67830732966409,2.7081074182504037,2.600482495153182,2.608363389968872,913484000
2017-03-22,2.5972805313984235,2.6662394129479843,2.5933400842769565,2.66156005859375,616764000
2017-03-23,2.6536785396582485,2.6736273879086894,2.6278191390298433,2.6374239921569824,533940000
2017-03-24,2.683726147372643,2.691607043820256,2.6209244170740837,2.6467838287353516,439500000
2017-03-27,2.600235404776394,2.669932944730244,2.550979238441362,2.665992498397827,506644000
2017-03-28,2.667224770366213,2.681755361618182,2.6418578895756917,2.6522016525268555,432444000
2017-03-29,2.659589798473687,2.671903901615715,2.64136514190571,2.6435816287994385,349992000
2017-03-30,2.6507231935062188,2.7090919250544463,2.645058786820256,2.694314956665039,525532000
2017-03-31,2.684709836777996,2.7063826433063993,2.669686724082507,2.682739496231079,440808000
2017-04-03,2.6832330004973897,2.7004726042867815,2.6455517831303115,2.6691949367523193,445232000
2017-04-04,2.5465462769203433,2.5716670040673018,2.471184330351397,2.482020616531372,1271280000
2017-04-05,2.4633037100857216,2.5211799232172014,2.450497080657409,2.463550090789795,747048000
2017-04-06,2.468721417195302,2.4935957632243277,2.4236518436158088,2.4815280437469482,635120000
2017-04-07,2.487931421215467,2.505417401568764,2.4559148540102713,2.470937967300415,429068000
2017-04-10,2.4716775683250187,2.478327029416072,2.403703968452938,2.407890796661377,756332000
