date,open,high,low,close,volume
2017-01-03,12.496000289916992,12.819000244140625,12.430999755859375,12.74899959564209,94379000
2017-01-04,12.74899959564209,13.017000198364258,12.654999732971191,12.940999984741211,78436000
2017-01-05,12.92199993133545,13.274999618530273,12.890000343322754,13.180999755859375,101855000
2017-01-06,13.208000183105469,13.387999534606934,12.980999946594238,13.107000350952148,106579000
2017-01-09,13.14799976348877,13.199000358581543,12.98900032043457,13.095000267028809,57718000
2017-01-10,13.126999855041504,13.222000122070312,12.928999900817871,12.98900032043457,59858000
2017-01-11,13.090999603271484,13.149999618530273,12.925000190734863,13.050000190734863,56151000
2017-01-12,13.062999725341797,13.085000038146973,12.850000381469727,12.918000221252441,53889000
2017-01-13,13.114999771118164,13.392999649047852,13.057999610900879,13.369999885559082,105150000
2017-01-17,13.503999710083008,13.539999961853027,13.208999633789062,13.288999557495117,122202000
2017-01-18,13.321000099182129,13.364999771118164,13.105999946594238,13.326000213623047,161686000
2017-01-19,14.201000213623047,14.345999717712402,13.824999809265137,13.840999603271484,232034000
2017-01-20,13.935999870300293,14.079000473022461,13.765999794006348,13.859999656677246,94974000
2017-01-23,13.864999771118164,13.949000358581543,13.730999946594238,13.73900032043457,74339000
2017-01-24,13.810999870300293,14.093000411987305,13.70300006866455,14.01099967956543,77547000
2017-01-25,14.079999923706055,14.138999938964844,13.904999732971191,13.95199966430664,72381000
2017-01-26,14.045000076293945,14.121000289916992,13.85099983215332,13.895999908447266,60383000
2017-01-27,13.946000099182129,14.24899959564209,13.899999618530273,14.244999885559082,83239000
2017-01-30,14.177000045776367,14.196999549865723,13.880000114440918,14.121999740600586,81225000
2017-01-31,14.055000305175781,14.182999610900879,13.970000267028809,14.071000099182129,44116000
2017-02-01,14.119999885559082,14.241000175476074,13.930000305175781,14.07800006866455,60334000
2017-02-02,14.060999870300293,14.104000091552734,13.904999732971191,13.920000076293945,34624000
2017-02-03,13.951000213623047,14.064000129699707,13.90999984741211,14.024999618530273,35126000
2017-02-06,14.0,14.100000381469727,13.916000366210938,14.097000122070312,35521000
2017-02-07,14.14900016784668,14.428000450134277,14.104999542236328,14.399999618530273,85735000
2017-02-08,14.357000350952148,14.506999969482422,14.255999565124512,14.473999977111816,68871000
2017-02-09,14.498000144958496,14.508999824523926,14.357999801635742,14.413999557495117,45551000
2017-02-10,14.468000411987305,14.529999732971191,14.397000312805176,14.482000350952148,61719000
