date,open,high,low,close,volume
2017-01-03,115.0199434679995,116.81418477677228,114.50447345922346,115.84272003173828,20663900
2017-01-04,116.52671612923757,118.61834893035878,116.26897734289162,117.65679168701172,19630900
2017-01-05,117.82531128079145,119.89711397154653,117.29001113240511,119.61955261230469,19492200
2017-01-06,119.92686916066123,122.80161853196273,118.9851343985276,122.3357162475586,28545300
2017-01-09,122.47449743426321,124.33812926836121,121.96893487835571,123.812744140625,22880400
2017-01-10,123.73342689455781,124.40750771697775,123.19812675060845,123.26751708984375,17324600
2017-01-11,123.26750454481326,125.0221005430217,122.98002815067237,124.99235534667969,18356500
2017-01-12,124.5165588461732,125.62681190902657,123.7136123595892,125.51776885986328,18653900
2017-01-13,126.38018678330236,128.14469808752463,126.261236233633,127.22278594970703,24884300
2017-01-17,126.9254001084796,127.22279162187208,126.290979501671,126.75688934326172,15294500
2017-01-18,127.29218986749926,127.31200487607352,125.73584951465814,126.80644989013672,13145900
2017-01-19,127.11373234540149,127.23269801114922,126.34052358485569,126.43965911865234,12195500
2017-01-20,126.984882655558,127.36156443165372,125.67636612797139,125.9341049194336,19097200
2017-01-23,126.20176229683254,128.12487699057797,125.8448954966946,127.80765533447266,16593600
2017-01-24,128.25372756036967,128.76918997169253,127.26243274880633,128.24380493164062,15162700
2017-01-25,128.868337001996,130.59319557336823,128.6403434102612,130.33544921875,18731300
2017-01-26,130.48416233748912,131.98101230368118,130.29581387217496,131.6241455078125,20020100
2017-01-27,131.52500538016162,131.79265924923342,129.9389425517207,131.02935791015625,19539500
2017-01-30,130.43459627532897,130.43459627532897,128.4718364352734,129.83981323242188,18956100
2017-01-31,129.0368740604032,129.52261407730214,128.39253833219777,129.18557739257812,19790500
2017-02-01,131.09875613893414,132.32796731291714,129.54241581882755,132.07022094726562,50139800
2017-02-02,132.06029042034913,134.3105337826802,129.26483190952933,129.7010040283203,54366400
2017-02-03,130.0975596097968,131.69354514477098,129.6217271250867,129.83981323242188,24804900
2017-02-06,129.83983036527727,130.91043090820312,129.16575694526642,130.91043090820312,17058500
2017-02-07,131.08884883049154,131.84222754253167,130.51389594789757,130.69232177734375,14596400
2017-02-08,131.44572115605155,133.26970029953452,131.28711032810668,133.0317840576172,22390600
2017-02-09,133.31927988275683,133.32918738814553,132.14954383050534,132.97232055664062,16470600
2017-02-10,132.93262243631358,133.76530633601828,132.51626536050483,133.02183532714844,15061900
2017-02-13,133.52743813911525,133.52743813911525,132.53614310448788,132.8831024169922,13526200
2017-02-14,132.93265343933567,133.06151149194216,131.3961433041297,132.68482971191406,14364900
2017-02-15,132.28828885037237,132.5361125519002,131.50517260896603,132.27838134765625,13226500
2017-02-16,131.91161011284143,132.70463387501806,131.8620423462157,132.67489624023438,12831100
2017-02-17,132.3378618520214,132.92272218053802,132.01073273794628,132.3675994873047,12276500
2017-02-21,132.33786789348608,132.74430242885742,131.74308490874947,132.5559539794922,14759100
2017-02-22,132.43700630596757,135.5992243697369,132.29822562331302,134.93505859375,27360100
2017-02-23,134.70707152013233,134.93506512568158,133.1606538025624,134.1816864013672,18422500
2017-02-24,132.99213004113886,134.43941215318864,132.99213004113886,134.260986328125,12625700
2017-02-27,134.08253602609818,135.9858203238411,133.8446349426047,135.2225341796875,14306700
2017-02-28,135.59922607759745,135.61905621135784,133.57699108688087,134.360107421875,16112100
2017-03-01,135.28202767322787,136.28323016169728,135.11350934106736,136.2237548828125,16257000
2017-03-02,135.8966482570398,136.6203046060289,135.12343925140405,135.56951904296875,12294800
